G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,SOS,name
32,31,26.9,5.3,8.8,0.607,4.0,5.5,0.737,1.3,3.3,0.39,2.2,3.1,0.717,1.8,8.1,9.9,1.9,0.8,3.7,1.9,2.7,14.1,4.5,chet-holmgren
39,39,33.0,6.3,13.2,0.478,5.2,9.8,0.525,1.1,3.3,0.338,3.5,4.8,0.729,1.7,6.1,7.8,3.2,1.1,0.9,2.4,1.9,17.2,7.26,paolo-banchero
29,29,25.3,4.9,8.1,0.597,4.9,8.1,0.6,0.0,0.0,0.0,2.2,3.6,0.625,3.0,5.2,8.1,1.3,0.8,2.1,2.2,2.7,12.0,7.86,jalen-duren
34,34,32.0,3.2,8.4,0.384,1.4,3.4,0.426,1.8,5.0,0.355,1.9,2.4,0.783,0.8,3.2,4.0,1.4,0.7,0.2,1.5,1.7,10.1,11.02,caleb-houstan
39,25,24.0,3.7,7.6,0.493,1.9,3.5,0.547,1.8,4.1,0.447,1.1,1.4,0.792,0.8,3.2,3.9,1.0,0.5,0.6,0.6,1.1,10.4,7.26,aj-griffin
11,10,28.5,4.1,11.9,0.344,2.5,6.1,0.418,1.5,5.8,0.266,2.4,3.2,0.743,0.9,4.9,5.8,1.5,0.8,0.8,2.1,1.5,12.1,-6.32,patrick-baldwinjr
59,46,28.6,4.9,11.3,0.44,3.4,6.6,0.523,1.5,4.7,0.322,3.5,4.7,0.739,0.7,3.5,4.3,2.6,0.8,0.6,2.1,1.7,14.9,9.73,jaden-ivey
32,0,12.7,1.2,3.7,0.322,1.0,2.7,0.356,0.2,1.0,0.226,0.7,1.0,0.688,0.9,2.0,2.9,0.8,0.6,0.6,0.9,1.6,3.3,8.36,peyton-watson
31,29,29.2,4.9,10.9,0.451,3.7,7.5,0.496,1.2,3.3,0.35,1.5,2.1,0.75,0.6,2.8,3.5,3.9,1.3,0.2,1.6,1.5,12.5,8.02,tyty-washingtonjr
34,34,30.8,5.4,11.5,0.464,3.9,7.8,0.504,1.4,3.8,0.383,1.8,2.9,0.606,0.7,2.6,3.2,4.7,2.2,0.2,2.5,2.0,13.9,9.94,kennedy-chandler
32,0,17.2,2.0,4.5,0.444,1.3,2.1,0.606,0.8,2.4,0.308,0.3,0.5,0.667,0.1,1.4,1.5,1.3,0.6,0.2,0.7,0.9,5.1,4.5,nolan-hickman
33,5,25.8,3.0,6.5,0.463,2.2,4.0,0.565,0.8,2.5,0.301,1.8,2.5,0.728,1.1,3.7,4.8,4.3,1.0,0.4,2.9,1.2,8.5,11.59,jd-davison
80,50,22.4,2.6,6.1,0.428,1.9,3.6,0.533,0.7,2.6,0.279,1.8,2.7,0.69,0.8,3.1,3.9,1.5,0.6,0.1,2.0,2.0,7.8,8.28,allen-flanigan
85,57,25.5,4.3,10.0,0.431,3.0,6.2,0.479,1.3,3.8,0.352,1.6,1.8,0.853,0.7,2.9,3.6,1.2,0.6,0.2,1.2,1.6,11.6,9.05,johnny-juzang
15,14,27.9,3.4,8.8,0.386,1.4,3.1,0.447,2.0,5.7,0.353,1.9,2.6,0.718,1.5,4.3,5.7,1.2,0.7,0.3,1.5,2.5,10.7,9.86,marcus-bagley
88,81,30.7,5.8,13.5,0.429,4.1,8.6,0.475,1.7,4.9,0.348,2.8,3.4,0.815,1.6,5.2,6.8,1.4,1.5,1.0,1.5,1.6,16.0,7.13,julian-champagnie
124,57,20.1,2.4,5.6,0.435,1.2,2.3,0.514,1.2,3.3,0.379,1.0,1.1,0.896,0.7,2.1,2.9,0.6,0.4,0.3,0.6,1.0,7.1,11.13,gabe-brown
62,54,20.5,4.2,6.0,0.704,4.2,6.0,0.706,0.0,0.0,0.0,1.3,1.9,0.661,2.3,4.0,6.3,0.8,0.5,2.3,0.9,1.8,9.7,7.8,mark-williams
126,33,15.5,2.5,6.0,0.415,1.6,3.5,0.467,0.9,2.6,0.345,1.0,1.5,0.659,0.9,2.3,3.2,0.9,0.9,0.4,0.9,1.5,6.9,8.64,matthew-mayer
59,33,22.0,3.9,8.1,0.479,2.9,5.6,0.515,1.0,2.5,0.399,2.7,3.5,0.783,1.7,5.4,7.2,0.9,0.6,0.6,1.8,2.3,11.5,7.86,jabari-walker
66,39,25.4,5.9,10.9,0.543,4.7,7.6,0.618,1.2,3.3,0.373,2.8,3.7,0.749,2.3,4.7,7.0,1.0,1.1,1.6,0.9,1.9,15.8,8.65,keegan-murray
89,89,34.3,6.8,15.6,0.437,3.4,7.0,0.49,3.4,8.6,0.394,3.4,3.9,0.865,0.4,2.6,2.9,2.9,1.1,0.2,1.9,1.9,20.4,-2.04,max-abmas
68,64,31.4,4.4,12.7,0.35,2.6,7.0,0.367,1.9,5.7,0.329,2.9,3.4,0.844,0.3,2.8,3.1,3.6,1.0,0.3,2.9,1.9,13.6,9.2,caleb-love
122,116,32.6,4.8,10.8,0.448,2.8,5.3,0.526,2.0,5.5,0.373,1.8,2.5,0.714,1.0,3.4,4.4,1.6,1.0,0.5,1.7,1.8,13.5,11.49,ochai-agbaji
156,125,28.9,3.8,8.9,0.422,1.7,3.5,0.475,2.1,5.4,0.387,2.3,2.7,0.848,0.3,2.6,2.9,3.1,1.0,0.0,1.4,2.0,11.9,9.54,collin-gillespie
34,34,27.0,3.9,6.6,0.584,3.5,5.4,0.638,0.4,1.2,0.341,1.5,2.2,0.689,1.7,3.1,4.9,1.9,1.0,0.4,1.7,2.3,9.7,8.76,kendall-brown
29,8,26.2,4.6,10.1,0.452,4.4,9.0,0.488,0.2,1.2,0.176,2.1,3.8,0.555,1.5,3.1,4.6,1.2,0.7,0.5,1.3,2.0,11.5,7.32,matthew-cleveland
63,34,17.9,3.4,5.7,0.601,3.2,4.8,0.671,0.2,0.9,0.204,1.2,2.1,0.577,2.1,3.7,5.8,0.6,0.8,2.9,0.8,2.0,8.2,8.84,walker-kessler
122,98,33.1,6.0,12.2,0.495,5.4,9.9,0.543,0.7,2.3,0.285,3.1,4.3,0.727,1.9,3.0,4.9,3.1,0.9,0.3,2.1,1.7,15.9,-0.54,taevion-kinsey
160,105,27.5,4.1,8.7,0.472,3.0,5.4,0.555,1.1,3.3,0.337,1.4,2.0,0.712,0.5,3.1,3.6,2.6,1.3,0.5,1.7,1.6,10.7,3.13,jamaree-bouyea
97,68,25.5,6.2,9.9,0.619,6.0,9.4,0.637,0.2,0.5,0.288,3.2,4.8,0.67,2.0,4.3,6.4,2.1,0.5,0.8,1.8,2.2,15.7,4.51,drew-timme
84,73,28.7,3.0,7.7,0.383,1.6,3.7,0.443,1.3,4.1,0.329,1.4,1.8,0.787,1.4,4.5,6.0,2.2,1.3,1.0,1.6,2.6,8.7,8.9,josiah-jordan-james
94,94,31.8,6.3,11.2,0.558,6.3,11.2,0.56,0.0,0.0,0.0,4.4,6.5,0.67,2.8,5.7,8.5,1.5,0.7,1.9,1.7,2.0,16.9,10.29,trayce-jackson-davis
63,51,24.9,2.4,5.1,0.477,1.8,3.2,0.552,0.7,1.9,0.35,1.0,1.5,0.68,1.0,3.2,4.2,2.9,1.0,0.3,1.3,2.3,6.6,7.51,dalen-terry
32,31,29.6,5.0,10.0,0.498,3.8,7.3,0.53,1.2,2.8,0.416,2.5,3.0,0.833,0.8,2.8,3.6,2.0,0.7,0.3,1.7,1.8,13.7,9.08,malaki-branham
68,53,28.1,3.9,8.8,0.439,2.8,5.3,0.53,1.0,3.5,0.298,2.3,3.4,0.675,1.8,5.6,7.4,1.8,0.7,0.4,1.5,1.9,11.1,11.06,jalen-wilson
121,109,29.1,4.5,10.2,0.439,3.0,5.8,0.515,1.5,4.4,0.34,2.1,2.9,0.741,1.0,4.1,5.1,1.4,0.8,0.6,1.2,2.1,12.6,9.69,ron-harperjr
31,31,33.3,5.2,12.8,0.403,3.9,8.1,0.478,1.3,4.7,0.274,5.2,6.3,0.831,0.7,4.5,5.2,1.4,0.7,0.3,2.1,2.0,16.8,8.25,bryce-mcgowens
92,61,26.4,4.7,9.8,0.48,3.8,7.3,0.528,0.8,2.5,0.341,3.9,5.2,0.749,1.7,4.4,6.1,1.6,0.5,1.6,1.7,2.4,14.1,10.5,ej-liddell
90,89,31.6,5.2,12.6,0.414,3.6,8.0,0.454,1.6,4.6,0.343,5.6,7.3,0.763,0.8,2.3,3.1,4.3,1.6,0.2,3.2,2.7,17.5,7.07,scotty-pippenjr
90,90,28.3,6.6,11.0,0.596,6.6,11.0,0.596,0.0,0.0,0.0,4.0,6.5,0.623,3.4,6.2,9.6,0.5,0.6,1.2,2.0,2.5,17.2,10.22,kofi-cockburn
26,25,32.2,3.7,9.4,0.393,2.8,6.4,0.434,0.9,3.0,0.308,2.2,3.4,0.648,0.8,4.3,5.2,6.3,0.8,0.3,3.4,2.2,10.5,-3.34,taran-armstrong
95,72,27.5,3.7,8.1,0.46,3.0,6.1,0.492,0.7,2.0,0.36,2.0,3.3,0.596,2.1,4.9,7.0,2.0,0.6,0.8,1.5,2.2,10.1,7.99,isaiah-mobley
88,34,22.4,3.8,8.9,.429,2.5,4.9,.508,1.3,3.9,.329,1.6,2.2,.720,0.3,1.8,2.1,2.9,0.5,0.1,2.1,1.6,10.5,9.86,jahvon-quinerly
71,57,28.5,4.0,10.3,0.387,1.5,3.3,0.441,2.5,7.0,0.361,1.5,1.9,0.797,0.3,2.2,2.6,2.1,1.2,0.1,1.3,1.7,12.0,6.05,marcus-sasser
91,76,29.9,5.6,10.7,0.522,4.7,7.9,0.593,0.9,2.8,0.319,3.4,4.6,0.739,1.9,5.5,7.4,2.4,0.9,0.8,2.2,2.2,15.5,3.26,david-roddy
56,40,27.8,4.5,9.1,0.49,4.2,8.0,0.523,0.3,1.1,0.254,2.9,4.2,0.694,2.0,4.1,6.1,2.2,1.1,0.2,1.9,1.4,12.1,6.43,dereon-seabron
84,55,27.8,4.3,8.9,0.481,2.2,3.7,0.601,2.1,5.2,0.397,2.2,2.6,0.823,0.9,3.6,4.5,1.7,0.6,0.2,1.3,1.9,12.7,2.98,hyunjung-lee
53,33,27.8,4.9,11.2,0.434,3.6,7.5,0.487,1.2,3.7,0.328,2.2,3.2,0.704,1.5,5.4,6.9,1.3,0.8,0.6,1.7,2.1,13.2,8.77,justin-lewis
32,25,31.6,5.7,14.3,0.398,2.7,6.2,0.437,3.0,8.1,0.369,1.9,2.7,0.698,0.9,3.2,4.1,2.1,1.3,0.5,1.7,2.2,16.3,6.37,terquavion-smith
74,26,17.2,2.7,5.4,0.504,2.1,3.4,0.622,0.6,2.1,0.312,0.8,1.1,0.718,1.0,2.2,3.2,1.2,0.4,0.8,1.1,1.8,7.0,8.28,jaylin-williams
63,40,25.2,2.8,6.0,0.464,2.4,4.5,0.534,0.4,1.5,0.255,2.0,2.7,0.731,1.3,6.3,7.7,1.8,1.0,0.9,1.4,2.3,7.9,7.9,jaylin-williams
125,125,35.2,5.0,11.6,0.428,2.1,4.3,0.501,2.8,7.3,0.386,2.5,3.4,0.746,0.5,4.6,5.2,3.3,1.3,0.5,1.8,1.8,15.3,-5.11,tevin-brown
95,71,27.5,4.8,10.2,0.468,3.9,7.6,0.509,0.9,2.6,0.346,3.1,3.7,0.831,0.4,2.2,2.6,2.4,0.8,0.2,1.9,1.6,13.5,7.11,iverson-molinar
65,40,24.3,2.8,6.1,.458,1.4,2.5,.588,1.4,3.6,.371,1.9,2.3,.831,1.4,3.7,5.1,1.4,1.5,0.5,1.3,2.4,8.8,10.80,keon-ellis
50,47,33.7,4.5,11.7,0.389,2.5,6.0,0.417,2.0,5.6,0.358,1.6,2.1,0.748,0.9,5.4,6.3,5.7,1.2,0.1,3.3,2.4,12.7,4.18,jordan-hall
101,74,28.5,3.5,7.8,0.449,2.2,4.3,0.508,1.3,3.5,0.378,1.7,2.3,0.749,1.1,3.9,5.0,1.8,1.0,0.5,1.3,1.6,10.1,11.06,christian-braun
64,64,31.5,5.9,13.0,0.453,4.5,8.7,0.521,1.4,4.3,0.317,3.2,4.1,0.796,0.8,4.8,5.6,3.1,1.4,0.2,2.3,2.6,16.4,-2.55,ryan-rollins
35,28,29.3,5.1,12.6,0.404,3.5,7.5,0.471,1.5,5.1,0.303,2.7,4.1,0.657,0.7,3.0,3.7,2.4,1.3,0.1,2.2,1.9,14.4,7.01,blake-wesley
88,83,29.5,4.3,8.3,0.524,3.8,6.8,0.558,0.6,1.5,0.371,3.0,4.0,0.743,2.3,4.0,6.3,2.6,1.2,1.0,2.2,2.9,12.2,2.82,jake-laravia
107,74,24.2,3.7,8.2,0.456,2.7,5.4,0.508,1.0,2.8,0.356,1.1,1.6,0.729,0.9,4.5,5.4,1.8,0.4,0.8,1.3,2.2,9.6,9.63,pete-nance
130,60,19.0,4.7,8.8,0.531,4.6,8.5,0.536,0.1,0.2,0.31,1.5,2.8,0.529,2.7,4.2,7.0,1.8,0.7,0.5,1.7,2.3,10.8,10.55,trevion-williams
33,5,14.6,2.5,4.8,0.522,2.5,4.4,0.559,0.1,0.4,0.143,1.5,2.0,0.754,1.6,2.2,3.8,0.9,0.8,0.7,0.9,1.8,6.6,7.86,josh-minott
131,115,32.1,3.7,8.3,0.446,2.6,5.0,0.515,1.1,3.3,0.343,1.4,1.8,0.79,0.2,2.7,2.9,5.3,1.2,0.1,2.0,1.8,10.0,7.68,andrew-nembhard
56,12,22.4,4.6,9.1,0.504,4.0,7.2,0.551,0.6,1.9,0.327,3.2,4.2,0.757,2.3,4.1,6.3,1.1,1.6,1.2,2.2,2.7,13.0,7.76,tari-eason
36,26,30.2,4.1,9.8,0.419,2.6,4.9,0.522,1.5,4.8,0.312,1.8,2.7,0.67,0.8,2.6,3.4,2.7,1.2,0.1,1.3,1.3,11.5,7.26,trevor-keels
57,31,18.3,2.9,5.8,0.502,1.8,2.7,0.667,1.1,3.1,0.358,1.2,1.8,0.703,0.9,2.6,3.5,0.6,0.4,0.1,0.6,1.5,8.1,5.21,julian-strawther
88,68,29.4,3.8,8.4,0.459,3.0,5.9,0.502,0.9,2.5,0.358,2.1,2.6,0.814,1.3,3.5,4.9,3.2,1.2,0.2,2.1,2.0,10.7,7.87,wendell-moorejr
90,59,23.9,4.2,8.6,0.488,3.5,6.1,0.578,0.7,2.5,0.27,2.0,2.8,0.699,0.9,3.0,3.9,2.6,0.8,0.2,2.1,1.9,11.1,8.08,alondes-williams
91,56,17.9,2.9,4.9,0.59,2.9,4.8,0.597,0.0,0.1,0.0,1.6,2.3,0.67,2.0,3.1,5.1,0.7,0.5,1.8,0.9,2.3,7.3,7.8,christian-koloko
30,1,25.1,3.3,7.0,0.474,2.5,4.3,0.585,0.8,2.7,0.296,1.8,3.0,0.589,2.0,4.4,6.4,1.8,1.3,0.7,1.6,2.3,9.2,8.76,jeremy-sochan
32,30,31.1,3.7,9.6,0.388,2.6,6.0,0.432,1.1,3.6,0.313,2.0,3.0,0.663,1.8,4.9,6.7,3.0,0.9,0.3,2.3,1.7,10.5,8.59,harrison-ingram
90,61,26.2,3.7,8.2,0.454,2.6,5.0,0.519,1.1,3.2,0.351,2.7,3.4,0.789,1.3,5.1,6.4,0.6,0.9,0.5,1.3,1.9,11.2,4.08,tyler-burton
34,34,28.8,5.4,12.6,0.429,3.1,7.0,0.435,2.3,5.5,0.42,3.9,4.8,0.799,0.9,6.5,7.4,2.0,1.1,1.0,1.9,2.1,16.9,8.17,jabari-smith
62,31,29.2,4.8,11.1,0.431,4.0,8.5,0.462,0.8,2.5,0.325,3.0,3.9,0.779,1.2,5.0,6.2,1.6,1.1,0.7,1.7,2.1,13.4,10.54,johnny-davis
